pair_id,label,complex,simple,complex_words,simple_words,compression_ratio
CD009102,rephrase,"The evidence suggests that resuscitation with a nasal interface in the DR, compared with a face mask, may have little to no effect on reducing death before discharge (typical risk ratio (RR) 0.72, 95% CI 0.47 to 1.13; 3 studies, 1124 infants; low-certainty evidence).","We found that giving breathing support with a nasal interface in the delivery room may have little to no effect on the rate of death before discharge, compared to a face mask.",44,32,0.7272727272727273
CD009102,rephrase,"Resuscitation with a nasal interface may reduce the rate of intubation in the DR, but the evidence is very uncertain (RR 0.68, 95% CI 0.54 to 0.85; 5 studies, 1406 infants; very low-certainty evidence).","It may reduce the number of newborn babies who are intubated in the delivery room, but the evidence is very uncertain.",34,21,0.6176470588235294
CD009102,rephrase,"The evidence is very uncertain for the rate of intubation within 24 hours of birth (RR 0.97, 95% CI 0.85 to 1.09; 3 studies, 749 infants; very low-certainty evidence), endotracheal intubation outside the DR during hospitalisation (RR 1.15, 95% CI 0.93 to 1.42; 1 study, 144 infants; very low-certainty evidence) and cranial ultrasound abnormalities (intraventricular haemorrhage (IVH) grade ≥ 3, or periventricular leukomalacia; RR 0.94, 95% CI 0.55 to 1.61; 3 studies, 749 infants; very low-certainty evidence).","The evidence is very uncertain about the effect of giving breathing support with a nasal interface on the rate of intubation within 24 hours of birth; the rate of intubation during hospitalisation, once they leave the delivery room; or bleeding inside the brain.",77,43,0.5584415584415584
CD009102,rephrase,"Resuscitation with a nasal interface in the DR, compared with a face mask, may have little to no effect on the incidence of air leaks (RR 1.09, 95% CI 0.85 to 1.09; 2 studies, 507 infants; low-certainty evidence), or the need for supplemental oxygen at 36 weeks' corrected gestational age (RR 1.06, 95% CI 0.8 to 1.40; 2 studies, 507 infants; low-certainty evidence).","Using a nasal interface may have little to no effect on the rate of lung complications (e.g. chronic lung disease, or air leaks).",63,23,0.36507936507936506
CD009102,rephrase,"We identified one ongoing study, which compares a nasal mask to a face mask to deliver PPV to infants in the DR. We did not identify any completed trials that compared nasal interfaces to LMAs or one nasal interface to another.",We found one ongoing study comparing a nasal mask to a face mask to give breathing support to babies in the delivery room.,41,23,0.5609756097560976
CD009102,rephrase,"However, the evidence is very uncertain.","As a result, we have little confidence in the evidence and the results of this outcome should be interpreted with caution.",6,21,3.5
CD009102,rephrase,This uncertainty is attributed to the use of a new ventilation system in the nasal interface group in two of the five trials.,It is not clear if the effect on intubation rates in the delivery room is due to the nasal interface or a new breathing system that was used in two of the five studies included in our analysis.,23,38,1.6521739130434783
CD011922,rephrase,We included one randomized controlled trial (RCT) on pharmacological interventions; the trial included 95 participants.,We included and analyzed one randomized controlled trial (a clinical study where people are randomly put into one or two (or more) treatment groups) with 95 participants.,15,27,1.8
CD011922,rephrase,"Concerning the proportion of participants with seizure freedom, no significant differences were found for the comparisons of levetiracetam versus lamotrigine (RR) 1.20, 95% CI 0.53 to 2.71; 67 participants; very low-certainty evidence), levetiracetam versus phenobarbital (RR 1.01, 95% CI 0.47 to 2.19; 66 participants; very low-certainty evidence), or lamotrigine versus phenobarbital (RR 0.84, 95% CI 0.35 to 2.02; 57 participants; very low-certainty evidence).","Concerning the proportion of participants with freedom from seizures, no significant differences were found between the antiepileptic drugs (levetiracetam versus lamotrigine, levetiracetam versus phenobarbital, and lamotrigine versus phenobarbital).",63,28,0.4444444444444444
CD011922,ignore,"It seemed that levetiracetam could improve cognition and lamotrigine could relieve depression, while phenobarbital and lamotrigine could worsen cognition, and levetiracetam and phenobarbital could worsen mood.","It seemed that levetiracetam could improve cognition (thinking) and lamotrigine could relieve depression, while phenobarbital and lamotrigine could worsen cognition, and levetiracetam and phenobarbital could worsen mood.",26,27,1.0384615384615385
CD011922,split,We judged the certainty of the evidence for all outcomes to be very low.,The certainty of the evidence for all the outcomes from the study were very low. This means that we are very uncertain about the results and they should be interpreted with caution.,14,32,2.2857142857142856
CD011922,rephrase,"Large RCTs with a double-blind, parallel-group design are required to determine the efficacy and tolerability of treatment for epilepsy in people with Alzheimer's disease.",Large randomized controlled trials are required to determine how effective and well tolerated treatments are for epilepsy in people with Alzheimer's disease.,24,22,0.9166666666666666
CD012318,split,"We identified 31 studies (44 reports) including 27,071 participants and two ongoing studies.","Our search yielded 31 eligible studies comparing the transradial approach to the transfemoral approach in people undergoing diagnostic or therapeutic (or both) coronary catheterisation procedures in different settings, whether urgent (during heart attacks (myocardial infarctions)) or elective (planned procedure). We also identified two ongoing studies.",13,45,3.4615384615384617
CD012318,rephrase,"Compared to the transfemoral approach, the transradial approach reduced short-term net adverse clinical events (NACE) (i.e. assessed during hospitalisation and up to 30 days of follow-up) (RR 0.76, 95% CI 0.61 to 0.94; 17,133 participants; 4 studies; moderate quality evidence), cardiac death (RR 0.69, 95% CI 0.54 to 0.88; 11,170 participants; 11 studies; moderate quality evidence).","We rated short-term NACE, cardiac death, and success of the procedure as moderate quality evidence.",56,15,0.26785714285714285
CD012318,rephrase,"However, short-term myocardial infarction was similar between both groups (RR 0.91, 95% CI 0.81 to 1.02; 19,430 participants; 11 studies; high quality evidence).","When assessing individual outcomes, the risk of myocardial infarction and stroke was similar between groups.",23,15,0.6521739130434783
CD012318,rephrase,"Transradial approach for diagnostic CA or PCI (or both) in CAD may reduce short-term NACE, cardiac death, all-cause mortality, bleeding, and access site complications.","Transradial access reduced death from cardiac causes, death from all causes during the first 30 days following intervention, bleeding, and local complications at the access site.",24,26,1.0833333333333333
CD010850,rephrase,We included three studies (179 participants) comparing LESS-DN with laparoscopic donor nephrectomy.,We searched to literature up to January 2016 and found three studies (reported in 5 publications that involved 179 participants) that compared these two types of kidney donor surgeries.,12,29,2.4166666666666665
CD010850,rephrase,"Pain scores at discharge were significantly less in the LESS-DN group (2 studies, 79 participants: MD -1.19, 95% CI -2.17 to -0.21).","LESS-DN was found to be as safe as standard keyhole surgical techniques; pain at discharge was significantly less with LESS-DN, however there were no other discernible benefits over the standard technique.",22,31,1.4090909090909092
CD010850,rephrase,"Although risk of bias was assessed as low overall, one study was assessed at high risk of attrition bias.","Overall, we found there was a low risk of bias for all studies; however, funding sources were not reported in two or three studies, and there was high risk of attrition bias in one study.",19,35,1.8421052631578947
CD010850,rephrase,Given the small number and size of included studies it is uncertain whether LESS-DN is better than laparoscopic donor nephrectomy.,The small number of studies with few participants eligible for inclusion indicates a need for future research in this area.,20,20,1.0
CD005129,rephrase,Thirty seven studies (2185 participants) were included in this review.,Thirty seven studies (2185 participants) were identified.,10,7,0.7
CD005129,rephrase,"There was no significant difference in the risk for CMV disease (16 studies, 770 patients: RR 0.80, 95% CI 0.61 to 1.05), CMV infection (14 studies, 775 patients: RR 0.94, 95% CI 0.80 to 1.10) or all-cause mortality (8 studies, 502 patients: RR 0.57, 95% CI 0.32 to 1.03) with IgG compared with placebo/no treatment.",This review shows that IgG did not reduce the risk of CMV disease or all-cause mortality compared with placebo or no treatment.,55,22,0.4
CD005129,rephrase,"However IgG significantly reduced the risk of death from CMV disease (6 studies, 346 patients: RR 0.33, 95% CI 0.14 to 0.80).",The combination of IgG with antiviral medications (aciclovir or ganciclovir) were not more effective than antiviral medications alone in reducing the risk of CMV disease or all-cause mortality.,22,28,1.2727272727272727
CD005129,split,There was no significant difference in the risk of CMV disease with anti CMV vaccine or interferon compared with placebo or no treatment.,"This review looked at the benefits and harms of IgG, anti CMV vaccines and interferon to prevent CMV disease in solid organ transplant recipients. Anti CMV vaccines and interferon did not reduce the risk of CMV disease compared with placebo or no treatment.",23,43,1.8695652173913044
CD005129,ignore,Currently there are no indications for IgG in the prophylaxis of CMV disease in recipients of solid organ transplants.,Currently there are no indications for IgG in the prevention of CMV disease in recipients of solid organ transplants.,19,19,1.0
CD010472,rephrase,"Eight studies met our inclusion criteria, of which seven were full-length journal articles and one was a conference abstract.",We found eight studies that met our inclusion criteria.,19,9,0.47368421052631576
CD010472,rephrase,"The eight studies included 961 participants with glaucoma, and compared two types of devices implanted during trabeculectomy versus standard trabeculectomy.",These studies included 961 people with glaucoma and compared one of two types of device implanted during trabeculectomy versus standard trabeculectomy.,20,21,1.05
CD010472,rephrase,"Seven studies (462 eyes, 434 participants) used the Ex-PRESS, and one study (527 eyes, 527 participants) used the PreserFlo MicroShunt.","Seven studies used the Ex-PRESS (434 participants), and one study used the PreserFlo MicroShunt (527 participants).",20,16,0.8
CD010472,rephrase,No studies using the XEN Gel Stent implantation met our criteria.,We found no studies using the XEN Gel Stent that met our criteria.,11,13,1.1818181818181819
CD010472,ignore,"The studies were conducted in North America, Europe, and Africa.","These studies were conducted in North America, Europe, and Africa.",10,10,1.0
CD010472,ignore,Planned follow-up periods ranged from six months to five years.,Planned follow-up periods ranged from six months to five years.,10,10,1.0
CD010472,rephrase,"Low-certainty of evidence from five studies showed that using the Ex-PRESS plus trabeculectomy compared with standard trabeculectomy may be associated with a slightly lower IOP at one year (mean difference (MD) −1.76 mmHg, 95% confidence interval (CI) −2.81 to −0.70; 213 eyes).",Five studies found that using the Ex-PRESS shunt during trabeculectomy may slightly reduce eye pressure by about 1.76 mmHg more than standard trabeculectomy.,42,23,0.5476190476190477
CD010472,rephrase,"Moderate-certainty of evidence from one study showed that using the PreserFlo MicroShunt may be associated with a slightly higher IOP than standard trabeculectomy at one year (MD 3.20 mmHg, 95% CI 2.29 to 4.11).",Another study showed that using the PreserFlo MicroShunt may be associated with a slightly higher eye pressure by 3.20 mmHg than standard trabeculectomy.,34,23,0.6764705882352942
CD010472,rephrase,PreserFlo MicroShunt may be inferior to standard trabeculectomy in lowering IOP.,Use of PreserFlo MicroShunt reduces the risk of developing abnormally low eye pressure by about 50% compared with standard trabeculectomy.,11,20,1.8181818181818181
CD010472,rephrase,"Overall, device-modified trabeculectomy appears associated with a lower risk of cataract surgery within five years compared with standard trabeculectomy.",Five studies found that the use of either device may lower the risk of subsequent cataract surgery (replacing a cloudy lens within the eye).,19,24,1.263157894736842
CD003216,rephrase,We included 33 RCTs with 7920 participants.,We found 33 studies that involved 7920 people.,7,8,1.1428571428571428
CD003216,rephrase,Pressure ulcer prevention Eleven studies (with 12 arms) compared six types of nutritional interventions for the prevention of pressure ulcers.,Eleven studies looked at the effects of nutritional interventions on preventing pressure ulcers and 24 studies evaluated nutritional interventions for treating pressure ulcers.,20,23,1.15
CD003216,rephrase,"Compared to standard diet, energy, protein and micronutrient supplements may result in little to no difference in the proportion of participants developing a pressure ulcer (energy, protein and micronutrient supplements 248 per 1000, standard diet 269 per 1000; RR 0.92, 95% CI 0.71 to 1.19; 3 studies, 1634 participants; low-certainty evidence).","• Energy, protein and micronutrient supplements may make little to no difference to the development of a pressure ulcer (3 studies, 1634 people).",51,23,0.45098039215686275
CD003216,rephrase,"Compared to standard diet, protein supplements may result in little to no difference in pressure ulcer incidence (protein 21 per 1000, standard diet 28 per 1000; RR 0.75, 95% CI 0.49 to 1.14; 4 studies, 4264 participants; low-certainty evidence).","• A protein supplement may make little to no difference in pressure ulcer development (4 studies, 4264 people).",39,18,0.46153846153846156
CD003216,rephrase,"Compared to standard diet, energy, protein and micronutrient supplements may slightly increase the number of healed pressure ulcers (energy, protein and micronutrients 366 per 1000, standard diet 253 per 1000; RR 1.45, 95% CI 1.14 to 1.85; 3 studies, 577 participants, low-certainty evidence).","• Energy, protein and micronutrient supplements may increase the number of people whose pressure ulcers healed, but we are very uncertain about this result (3 studies, 577 people).",43,28,0.6511627906976745
CD003216,rephrase,The evidence is very uncertain about the effect of these supplements on gastrointestinal side effects.,It is unclear if the protein supplement causes any unwanted effects.,15,11,0.7333333333333333
CD003216,rephrase,"Compared to standard diet, the evidence is very uncertain about the effect of protein, arginine, zinc and antioxidant supplements on pressure ulcer healing (pressure ulcer area: mean difference (MD) 2 cm² smaller, 95% CI 4.54 smaller to 0.53 larger; 2 studies, 71 participants, very low-certainty evidence).","• Compared to a standard diet, we are uncertain whether protein, arginine, zinc and antioxidant supplements improve the healing of pressure ulcers, (2 studies, 71 people).",46,26,0.5652173913043478
CD003216,rephrase,The evidence on side effects of these supplements is very uncertain.,"We do not know if protein, arginine, zinc and antioxidant supplements cause any unwanted effects.",11,15,1.3636363636363635
CD003216,rephrase,"Compared to standard diet, supplements with arginine and micronutrients may not increase the number of healed pressure ulcers, but the evidence suggests a slight reduction in pressure ulcer area (MD 15.8% lower, 95% CI 25.11 lower to 6.48 lower; 2 studies, 231 participants, low-certainty evidence).","• Arginine and micronutrient supplements may not increase the number of pressure ulcers healed, but they may slightly increase pressure ulcer healing (2 studies, 231 people).",45,26,0.5777777777777777
CD003216,rephrase,"The evidence is very uncertain about changes in pressure ulcer scores, acceptability, and side effects of these supplements.",It is unclear if the intervention has an effect on acceptability and unwanted effects.,18,14,0.7777777777777778
CD003216,rephrase,"Compared to placebo, collagen supplements probably improve the mean change in pressure ulcer area (MD 1.81 cm² smaller, 95% CI 3.36 smaller to 0.26 smaller; 1 study, 74 participants, moderate-certainty evidence).","• Collagen supplements probably increase pressure ulcer healing (1 study, 74 people).",31,12,0.3870967741935484
CD003216,rephrase,The evidence is very uncertain about the effect of these supplements on side effects.,"The intervention may increase unwanted effects, but we are very uncertain about this result.",14,14,1.0
CD003216,rephrase,The benefits of nutritional interventions with various compositions for pressure ulcer prevention and treatment are uncertain.,We wanted to know whether nutritional interventions help to prevent people developing pressure ulcers and to promote the healing of existing pressure ulcers.,16,23,1.4375
CD003216,rephrase,There may be little or no difference compared to standard nutrition or placebo.,"We searched for studies that investigated any form of nutritional intervention compared with a normal diet, placebo (dummy medicine) or another type of nutritional intervention.",13,25,1.9230769230769231
CD002213,merge,"This update located nine new studies, which were added to the six studies from our last update in 2008.","These studies were added to the six that we found the last time we updated the review, bringing the total to 15 studies.",19,23,1.2105263157894737
CD002213,split,All of these studies measured the effectiveness of IPE interventions compared to no educational intervention.,"All 15 studies compared outcomes following an IPE intervention to outcomes, either in similar clinical settings that did not receive the IPE intervention, or in the same clinical setting before the intervention was made. Because no studies compared an interprofessional intervention to a profession-specific intervention, our understanding of interprofessional interventions is limited. The small number of studies included in this review, and their varied nature, limit our understanding of the key components of IPE and its effectiveness.",15,77,5.133333333333334
CD002213,none,"In addition, four of the studies reported mixed outcomes (positive and neutral) and four studies reported that the IPE interventions had no impact on either professional practice or patient care.","Seven of these studies reported positive outcomes for healthcare processes or patient outcomes, or both, four studies reported mixed outcomes (positive and neutral) and four reported no effects of IPE.",30,30,1.0
CD002213,rephrase,This updated review reports on 15 studies that met the inclusion criteria (nine studies from this update and six studies from the 2008 update).,Nine studies met the inclusion criteria for the review.,24,9,0.375
CD002213,rephrase,"To improve the quality of evidence relating to IPE and patient outcomes or healthcare process outcomes, the following three gaps will need to be filled: first, studies that assess the effectiveness of IPE interventions compared to separate, profession-specific interventions; second, RCT, CBA or ITS studies with qualitative strands examining processes relating to the IPE and practice changes; third, cost-benefit analyses.","In particular, these should include: first, studies that assess the effectiveness of IPE interventions compared to separate, profession-specific interventions; second, RCT, CBA or ITS studies with qualitative strands examining processes relating to the IPE and practice changes; third, cost-benefit analyses.",60,40,0.6666666666666666
CD012103,split,We included a total of 27 reviews in this overview.,We found a total of 27 Cochrane ART reviews of high quality that could be included for this overview. We did not include reviews of intrauterine insemination and ovulation induction.,10,30,3.0
CD012103,rephrase,Ten reviews had not been updated in the past three years.,"Of the 27 reviews included in this overview, 10 reviews had not been updated in the past three years.",11,19,1.7272727272727273
CD012103,ignore,"Seven reviews described interventions that provided a beneficial effect in reducing OHSS rates, and we categorised one additional review as 'promising'.","Seven reviews described interventions that provided a beneficial effect in reducing OHSS rates, and we categorised one additional review as 'promising'.",21,21,1.0
CD012103,ignore,"Of the effective interventions, all except one had no detrimental effect on pregnancy outcomes.","Of the effective interventions, all except one had no detrimental effect on pregnancy outcomes.",14,14,1.0
CD012103,ignore,Evidence of at least moderate quality indicates that clinicians should consider the following interventions in ART cycles to reduce OHSS rates.,Evidence of at least moderate quality evidence indicates that clinicians should consider the following interventions in ART cycles to reduce OHSS rates.,21,22,1.0476190476190477
CD012103,ignore,• Metformin treatment before and during an ART cycle for women with PCOS (moderate-quality evidence).,• Metformin treatment before and during an ART cycle in women with PCOS (moderate-quality evidence).,15,15,1.0
CD012103,ignore,• Gonadotrophin-releasing hormone (GnRH) antagonist protocol in ART cycles (moderate-quality evidence).,• Gonadotrophin-releasing hormone (GnRH) antagonist protocol in ART cycles (moderate-quality evidence).,11,11,1.0
CD012103,ignore,• GnRH agonist (GnRHa) trigger in donor oocyte or 'freeze-all' programmes (moderate-quality evidence).,• GnRH agonist (GnRHa) trigger in donor oocyte or 'freeze-all' programmes (moderate-quality evidence).,13,13,1.0
CD012103,ignore,Evidence of low or very low quality suggests that clinicians should consider the following interventions in ART cycles to reduce OHSS rates.,Evidence of low or very low quality evidence suggests that clinicians should consider the following interventions in ART cycles to reduce OHSS rates.,22,23,1.0454545454545454
CD012103,ignore,• Clomiphene citrate for controlled ovarian stimulation in ART cycles (low-quality evidence).,• Clomiphene citrate for controlled ovarian stimulation in ART cycles (low-quality evidence).,12,12,1.0
CD012103,ignore,• Cabergoline around the time of human chorionic gonadotrophin (hCG) administration or oocyte pickup in ART cycles (low-quality evidence).,• Cabergoline around the time of human chorionic gonadotrophin (hCG) administration or oocyte pickup in ART cycles (low-quality evidence).,19,19,1.0
CD012103,ignore,• Intravenous fluids (plasma expanders) around the time of hCG administration or oocyte pickup in ART cycles (very low-quality evidence).,• Intravenous fluids (blood plasma expanders) around the time of hCG administration or egg pickup in ART cycles (very low-quality evidence).,20,21,1.05
CD012103,ignore,• Progesterone for luteal phase support in ART cycles (low-quality evidence).,• Progesterone for luteal phase support in ART cycles (low-quality evidence).,11,11,1.0
CD012103,rephrase,• Coasting (withholding gonadotrophins) - a promising intervention that needs to be researched further for reduction of OHSS.,A promising intervention that needs to be researched further is coasting (withholding gonadotrophins) for reduction of OHSS.,18,17,0.9444444444444444
CD012103,rephrase,"On the basis of this overview, we must conclude that evidence is currently insufficient to support the widespread practice of embryo cryopreservation.","On the basis of this overview, we must conclude that evidence is currently insufficient to support the widespread practice of freezing all embryos and replacing them at a later time when OHSS has dissolved.",22,34,1.5454545454545454
CD012103,none,Clinicians can use the evidence summarised in this overview to choose the best treatment regimen for individual patients - a regimen that not only reduces the chance of developing OHSS but does not compromise other outcomes such as pregnancy or live birth rate.,Clinicians can use the evidence summarised in this overview to choose the best treatment regimen for individual patients - a regimen that not only reduces the chance of developing OHSS but does not compromise pregnancy outcomes.,43,36,0.8372093023255814
CD012103,rephrase,"Review results, however, are limited by the lack of recent primary studies or updated reviews.","However, results of this overview are limited by the lack of recent primary studies or updated reviews.",15,17,1.1333333333333333
CD012103,ignore,"Furthermore, this overview can be used by policymakers in developing local and regional protocols or guidelines and can reveal knowledge gaps for future research.","Furthermore, this overview can be used by policymakers in developing local and regional protocols or guidelines and can reveal knowledge gaps for future research.",24,24,1.0
CD003123,rephrase,We included 19 studies (2256 participants).,Our systematic review found 19 studies involving 2256 children that use epinephrine for the treatment of bronchiolitis in acute care settings.,6,21,3.5
CD003123,rephrase,There were no important differences in adverse events.,The evidence shows no important differences in adverse effects with epinephrine over the short-term with long-term safety not being assessed.,8,20,2.5
CD003123,rephrase,"This review demonstrates the superiority of epinephrine compared to placebo for short-term outcomes for outpatients, particularly in the first 24 hours of care.","When comparing epinephrine with placebo, no differences were found for length of hospital stay but there is some indication that epinephrine is effective for reducing hospital admissions.",23,27,1.173913043478261
CD003123,rephrase,Exploratory evidence from a single study suggests benefits of epinephrine and steroid combined for later time points.,"Exploratory results from one large, high-quality trial suggest that combined treatment with systemic glucocorticoids (dexamethasone) and epinephrine may significantly reduce admissions.",17,21,1.2352941176470589
CD003123,rephrase,More research is required to confirm the benefits of combined epinephrine and steroids among outpatients.,"Further research is needed to confirm the efficacy, applicability and long-term safety of epinephrine as a treatment for bronchiolitis.",15,19,1.2666666666666666
CD003123,split,There is no evidence of effectiveness for repeated dose or prolonged use of epinephrine or epinephrine and dexamethasone combined among inpatients.,"In summary, our systematic review provides evidence that epinephrine is more effective than placebo for bronchiolitis in outpatients. There is no evidence to support the use of epinephrine for inpatients.",21,30,1.4285714285714286
CD007492,split,We identified one new trial from the updated searches.,"We searched for all relevant studies until 4 September 2015. We found seven studies, six of which we identified previously and one retrieved for this update.",9,26,2.888888888888889
CD007492,split,The included studies investigated interventions dealing with the mental health problems of persons with an intellectual disability; none focused on physical health problems.,"All of the studies assessed the impact of the intervention on the mental health of persons with an intellectual disability; none considered the physical health. Those studies used different interventions, including giving persons with an intellectual disability more health services, psychological support, and treating them at home, instead of at the hospital.",23,52,2.260869565217391
CD007492,rephrase,"Four studies assessed the effect of organisational interventions on behavioural problems for persons with an intellectual disability, three assessed care giver burden, and three assessed the costs associated with the interventions.","Studies mainly looked at how the interventions helped the behavioural problems of those with an intellectual disability, how much burden they caused the care givers, and how much they cost.",31,30,0.967741935483871
CD007492,rephrase,None of the included studies reported data on the effect of organisational interventions on adverse events.,No study assessed adverse events.,16,5,0.3125
CD007492,rephrase,"Behavioural problems were slightly decreased by community-based specialist behavioural therapy (one trial, low certainty evidence).",Community-based behaviour therapy might decrease behavioural problems.,15,7,0.4666666666666667
CD007492,rephrase,"It is uncertain whether outreach treatment makes any difference for care giver burden (one trial, very low certainty evidence).",We are uncertain whether other interventions make any difference in reducing behavioural problems.,19,13,0.6842105263157895
CD007492,rephrase,"There was very limited evidence regarding costs, with low to very low certainty evidence for the different interventions.","There was limited evidence about how those interventions helped care givers to deal with the burden of caring for their relatives with an intellectual disability, or how much they might cost compared with the usual care already provided.",18,38,2.111111111111111
CD007492,rephrase,There is very limited evidence on the organisation of healthcare services for persons with an intellectual disability.,uthors' conclusions There is little information on different ways to organise services for people with intellectual disabilities.,17,17,1.0
CD007492,split,There are currently no well-designed studies focusing on organising the health services of persons with an intellectual disability and concurrent physical problems.,Most studies focused on people who had intellectual disabilities and mental health problems. There were no studies on people who had intellectual disabilities and physical problems.,22,26,1.1818181818181819
CD012254,rephrase,We included three trials (in five articles) with 385 opiate-using participants that measured outcomes at different follow-up periods in this review.,We included three studies in this review with 385 participants in total with follow-up periods of different length.,21,18,0.8571428571428571
CD012254,rephrase,"Two studies with 150 individuals compared DHC with buprenorphine for detoxification, and one study with 235 participants compared DHC to methadone for maintenance substitution therapy.","Two studies with 150 participants compared DHC to buprenorphine for detoxification (managing physical symptoms of withdrawal), while one study with 235 individuals compared DHC to methadone for maintenance substitution therapy (providing legal substance to reduce risk behaviour and other harm related to drug use over a longer period).",25,48,1.92
CD012254,rephrase,"The studies that compared DHC to buprenorphine reported no serious adverse events, while the DHC versus methadone study reported one death due to methadone overdose.",The only adverse event reported was one death from a methadone overdose in the study that compared DHC with methadone as maintenance therapy.,25,23,0.92
CD012254,rephrase,We found low-quality evidence that DHC may be no more effective than other commonly used pharmacological interventions in reducing illicit opiate use.,"Overall, the evidence was of low quality.",22,7,0.3181818181818182
CD012254,rephrase,"It is therefore premature to make any conclusive statements about the effectiveness of DHC, and it is suggested that further high-quality studies are conducted, especially in low- to middle-income countries.","However it is premature to make definitive statements about the efficacy of DHC for reducing illegal substance use, due to the low quality of evidence.",30,25,0.8333333333333334
CD006004,rephrase,A total of 1831 participants were randomised to drain (915 participants) versus 'no drain' (916 participants) in 12 trials included in this review.,A total of 1831 participants received drain (915 patients) versus 'no drain' (916 patients) in 12 trials included in this review.,23,21,0.9130434782608695
CD006004,rephrase,Only two trials including 199 participants were of low risk of bias.,"Only two trials including 199 patients were of low risk of bias (free from errors in study design that can result in wrong conclusions, leading to overestimation of benefits and to underestimation of harms of the drainage or no drainage).",12,40,3.3333333333333335
CD006004,merge,Nine trials included patients undergoing elective laparoscopic cholecystectomy exclusively.,Nine of the 12 trials included patients who underwent planned operations.,9,11,1.2222222222222223
CD006004,ignore,The average age of participants in the trials ranged between 48 years and 63 years in the 10 trials that provided this information.,The average age of participants in the trials ranged between 48 years and 63 years in the 10 trials that provided this information.,23,23,1.0
CD006004,ignore,The proportion of females ranged between 55.0% and 79.0% in the 11 trials that provided this information.,The proportion of females ranged between 55.0% and 79.0% in the 11 trials that provided this information.,17,17,1.0
CD006004,none,There was no significant difference in the quality of life between the two groups (one trial; 93 participants; SMD 0.22; 95% CI -0.19 to 0.63).,"There was no significant or clinically important differences in the short-term mortality, serious complications, quality of life, length of hospital stay, operating time, return to normal activity, or return to work in the trials that reported these outcomes.",25,38,1.52
CD006004,rephrase,The proportion of patients who were discharged as day-procedure laparoscopic cholecystectomy seemed significantly lower in the drain group than the 'no drain' group (one trial; 68 participants; drain group (0/33) (adjusted proportion: 0.2%) versus 'no drain' group (11/35) (31.4%); RR 0.05; 95% CI 0.00 to 0.75).,The proportion of patients who were discharged as day-procedure laparoscopic cholecystectomy seemed significantly lower in the drain group than in the 'no drain' group in one trial of high risk of bias involving 68 participants.,46,35,0.7608695652173914
CD006004,rephrase,There is currently no evidence to support the routine use of drain after laparoscopic cholecystectomy.,"Currently, there is no evidence to support the use of drain after laparoscopic cholecystectomy.",15,14,0.9333333333333333
CD006004,ignore,Further well designed randomised clinical trials are necessary.,Further well-designed randomised clinical trials are necessary.,8,7,0.875
CD004886,ignore,Seven low quality randomised trials were included.,Seven low quality randomised trials were included.,7,7,1.0
CD004886,ignore,"All studies included a total of 310 patients, but due to selective outcome reporting bias, less patients could be included in our analyses.","All the seven studies included a total of 310 patients, but due to selective outcome reporting bias, less patients could be included in our analyses.",23,25,1.0869565217391304
